"","AGG","SCHP","VCSH","BNDX","VWOB","1306","VOO","VSS","VGK","VWO","1343","VNQ","VNQI","IAU","BCI"
"1",0.177921165254526,0.01,0.474378504022645,0.222288247193115,0.0099999999999996,0.0154120835297135,0.01,0.0100000000000001,0.00999999999999996,0.0100000000000001,0.01,0.00999999999999997,0.0100000000000001,0.00999999999999999,0.01
"2",0.201139336564771,0.01,0.335237585681023,0.309648133544429,0.00999999999999962,0.0425371324540603,0.01,0.0100000000000001,0.00999999999999995,0.0100000000000001,0.0114378117557172,0.00999999999999998,0.0100000000000001,0.01,0.01
"3",0.206729851629619,0.01,0.271498896163453,0.34948499227101,0.00999999999999964,0.0437178733448126,0.01,0.01,0.00999999999999996,0.0100000000000001,0.028568386591105,0.00999999999999998,0.0100000000000001,0.01,0.01
"4",0.212320366694467,0.01,0.207760206645885,0.389321850997591,0.00999999999999965,0.044898614235565,0.01,0.01,0.00999999999999995,0.01,0.0456989614264926,0.00999999999999998,0.0100000000000001,0.01,0.01
"5",0.201741036197657,0.0363682622579086,0.152881665017487,0.415633342789229,0.00999999999999967,0.0455086846052203,0.01,0.01,0.00999999999999995,0.01,0.0578670091324986,0.00999999999999998,0.0100000000000001,0.01,0.01
"6",0.178763580330785,0.0829542204744866,0.104796584953601,0.431574346235996,0.00999999999999969,0.0456811970131386,0.0100000000000001,0.01,0.00999999999999995,0.01,0.0662300709919918,0.00999999999999998,0.0100000000000001,0.01,0.01
"7",0.155786124463914,0.129540178691064,0.0567115048897154,0.447515349682764,0.0099999999999997,0.0458537094210569,0.0100000000000001,0.01,0.00999999999999995,0.01,0.0745931328514848,0.00999999999999999,0.0100000000000001,0.01,0.01
"8",0.140474726396213,0.155680391102777,0.0270932035898997,0.454033688283104,0.00999999999999971,0.0456534605234964,0.0100000000000001,0.01,0.00999999999999995,0.01,0.0791788654536619,0.00999999999999999,0.0100000000000001,0.017885664650847,0.01
"9",0.121537140448346,0.181183779988527,0.0100000000000001,0.451835067607044,0.00999999999999972,0.0453474186251552,0.01,0.01,0.00999999999999995,0.01,0.0837307693099894,0.00999999999999999,0.0100000000000001,0.0263658240209383,0.01
"10",0.0974979594550111,0.206047263003187,0.0100000000000001,0.437699980180039,0.00999999999999974,0.0448995461870761,0.01,0.01,0.00999999999999994,0.01,0.0882802988087589,0.00999999999999999,0.0100000000000001,0.0355749523659272,0.01
"11",0.0734587784616764,0.230910746017847,0.0100000000000001,0.423564892753034,0.00999999999999975,0.044451673748997,0.01,0.01,0.00999999999999994,0.01,0.0928298283075283,0.00999999999999999,0.0100000000000001,0.0447840807109161,0.01
"12",0.0494195974683417,0.255774229032507,0.01,0.40942980532603,0.00999999999999977,0.0440038013109179,0.01,0.01,0.00999999999999994,0.01,0.0973793578062977,0.00999999999999999,0.0100000000000001,0.053993209055905,0.01
"13",0.0253804164750069,0.280637712047168,0.01,0.395294717899025,0.00999999999999978,0.0435559288728389,0.01,0.01,0.00999999999999994,0.01,0.101928887305067,0.01,0.0100000000000001,0.063202337400894,0.01
"14",0.01,0.302597578471934,0.00999999999999998,0.374992759925929,0.00999999999999979,0.0429244401800037,0.01,0.01,0.00999999999999993,0.01,0.106610031714819,0.01,0.0100000000000001,0.0728751897073135,0.01
"15",0.01,0.319399800022333,0.00999999999999996,0.343736694453366,0.00999999999999981,0.0419667970498062,0.01,0.01,0.00999999999999993,0.01,0.11152496145745,0.01,0.0100000000000001,0.0833717470170446,0.01
"16",0.01,0.336202021572732,0.00999999999999994,0.312480628980802,0.00999999999999982,0.0410091539196087,0.01,0.01,0.00999999999999993,0.00999999999999999,0.116439891200081,0.01,0.0100000000000001,0.0938683043267758,0.01
"17",0.01,0.353004243123131,0.00999999999999993,0.281224563508238,0.00999999999999984,0.0400515107894111,0.01,0.01,0.00999999999999993,0.00999999999999999,0.121354820942712,0.01,0.0100000000000001,0.104364861636507,0.01
"18",0.01,0.36980646467353,0.00999999999999991,0.249968498035675,0.00999999999999985,0.0390938676592136,0.01,0.01,0.00999999999999993,0.00999999999999998,0.126269750685344,0.01,0.0100000000000001,0.114861418946238,0.01
